AAPL
ABBV
ABT
ACN
ADBE
ADI
ADM
ADP
ADSK
AEE
AEP
AES
AFL
AIG
AIZ
AJG
AKAM
ALB
ALGN
ALL
ALLE
ALSN
AMAT
AMD
AME
AMGN
AMH
AMT
AMZN
AN
ANET
ANSS
AON
AOS
APA
APD
APH
APO
APTV
ARE
ARES
ARMK
ATO
AVB
AVGO
AVY
AWK
AXON
AXP
AZO
BA
BAC
BAH
BAX
BBWI
BBY
BDX
BEN
BG
BIIB
BIO
BK
BKR
BLD
BLDR
BLK
BMRN
BMY
BR
BRK/B
BRO
BSX
BWA
BXP
BX
C
CAG
CAH
CAT
CB
CBOE
CBRE
CCI
CCK
CCL
CDNS
CDW
CE
CEG
CF
CFG
CHD
CHDN
CHE
CHRW
CHTR
CI
CINF
CL
CLF
CLH
CLX
CMA
CMCSA
CME
CMG
CMI
CMS
CNC
CNP
COF
COO
COP
COST
CPB
CPNG
CPRT
CPT
CRM
CRL
CSCO
CSGP
CSL
CSX
CTAS
CTRA
CTSH
CTVA
CVNA
CVS
CVX
CZR
D
DAL
DAR
DASH
DCI
DDOG
DE
DECK
DELL
DG
DHI
DHR
DINO
DIS
DKS
DLR
DLTR
DOV
DOW
DRI
DT
DTE
DUK
DVA
DVN
DXCM
EA
EBAY
ECL
ED
EFX
EIX
EL
ELS
EMN
EMR
EOG
EPAM
EPR
EQH
EQR
EQT
EQIX
ES
ESS
ETN
ETR
EVR
EVRG
EW
EWBC
EXAS
EXC
EXPD
EXPE
EXR
F
FAST
FCN
FCX
FDX
FE
FERG
FICO
FIS
FITB
FIVE
FIX
FLS
FMC
FND
FOXA
FOX
FR
FRT
FSLR
FTI
FTNT
FV
G
GD
GE
GEHC
GEN
GEV
GGG
GILD
GIS
GL
GLPI
GLW
GM
GMED
GNRC
GPC
GPN
GRMN
GS
GWW
H
HAL
HAS
HBAN
HCA
HD
HES
HIG
HLT
HOLX
HON
HPE
HPQ
HRL
HSIC
HSY
HUBB
HUM
HWM
HXL
IBM
ICE
ICLR
IDXX
IEX
IFF
ILMN
INCY
INTC
INTU
IONS
IP
IPG
IQV
IR
IRDM
IRM
ISRG
IT
ITW
J
JAZZ
JBHT
JBL
JCI
JEF
JHG
JKHY
JNJ
JPM
K
KDP
KEY
KEYS
KHC
KIM
KKR
KLAC
KMB
KMI
KRC
KR
L
LAMR
LDOS
LEN
LH
LHX
LIN
LKQ
LLY
LMT
LNC
LNT
LOW
LPLA
LPX
LRCX
LSCC
LSTR
LULU
LUV
LVS
LW
LYB
LYV
M
MA
MAR
MAS
MCD
MCHP
MCK
MCO
MDB
MDLZ
MDT
MET
MGM
MHK
MKC
MKTX
MLI
MLM
MMC
MMM
MNDY
MNR
MO
MOH
MOS
MPC
MPWR
MRK
MRNA
MRO
MRVL
MS
MSCI
MSFT
MSI
MTB
MTCH
MTD
MTG
MTN
MTZ
MU
MUSA
NCLH
NDAQ
NDSN
NEE
NEM
NET
NFLX
NI
NKE
NOC
NOV
NOW
NRG
NSC
NTAP
NTRS
NUE
NU
NVDA
NVR
NVT
NWL
NXST
O
ODFL
OKE
OLED
OLN
OMC
ON
ORCL
ORI
OSK
OTIS
OXY
PANW
PARA
PAYC
PAYX
PCAR
PCG
PCTY
PDD
PEG
PENN
PEP
PFE
PFG
PG
PGR
PH
PHM
PINS
PLD
PLTR
PM
PNC
PNR
PNW
POOL
PPC
PPG
PPL
PRGO
PRU
PSA
PSX
PTC
PWR
PYPL
QCOM
QRVO
R
RCL
REG
REGN
RF
RHI
RJF
RL
RMD
RNR
ROL
ROP
ROST
RPM
RRX
RS
RSG
RTX
RVTY
RYN
SAIA
SBAC
SBUX
SCHW
SCI
SEIC
SF
SFM
SGEN
SHW
SJM
SKX
SLB
SMCI
SMG
SNA
SNPS
SNV
SNX
SO
SOFI
SPG
SPGI
SPOT
SRE
SSD
ST
STE
STLD
STT
STWD
STZ
SW
SWK
SWKS
SYK
SYY
T
TAP
TDG
TDY
TECH
TEL
TER
TFC
TFX
TGT
TJX
TMO
TMUS
TNL
TOL
TPR
TRGP
TROW
TRU
TRV
TSCO
TSLA
TSN
TT
TTD
TTEK
TTWO
TXN
TXRH
TYL
UAL
UBER
UDR
UHS
ULTA
UNH
UNM
UNP
UPS
URI
USB
V
VFC
VICI
VLO
VMC
VNO
VRSK
VRSN
VRT
VRTX
VST
VTR
VZ
W
WAB
WAT
WBA
WBD
WCC
WDC
WEC
WELL
WEX
WFC
WHR
WING
WM
WMB
WMT
WPC
WRB
WSM
WSO
WST
WTW
WY
WYNN
XEL
XLNX
XOM
XPO
XYL
YUM
Z
ZBH
ZBRA
ZION
ZS
ZTS
GOOGL
GOOG
META
AVGO
BRK/B
JPM
V
LLY
NFLX
XOM
MA
JNJ
WMT
COST
HD
ORCL
ABBV
PG
BAC
PLTR
CVX
GE
UNH
CSCO
KO
WFC
AMD
PM
CRM
ABT
GS
IBM
LIN
MCD
DIS
RTX
MRK
T
PEP
CAT
NOW
UBER
VZ
TMO
TXN
BKNG
AXP
INTU
C
QCOM
MS
BLK
BA
ISRG
SPGI
GEV
SCHW
ACN
BSX
AMGN
TJX
ADBE
NEE
PGR
LOW
COF
HON
ANET
GILD
PFE
ETN
SYK
UNP
MU
APH
DHR
AMAT
LRCX
CMCSA
BX
PANW
COP
ADI
ADP
MDT
DE
KLAC
TMUS
APP
MO
SNPS
WELL
INTC
PLD
SPOT
CRWD
CB
SO
MMC
ICE
VRTX
SBUX
PH
CEG
BMY
CME
CDNS
AMT
LMT
DUK
KKR
TT
RCL
CVS
NKE
ORLY
DASH
MCK
SHW
WM
MMM
MSTR
NEM
GD
PNC
CI
NOC
MCO
MDLZ
MSI
ITW
TDG
HOOD
AON
CRH
EQIX
AJG
FI
USB
BK
SNOW
EMR
ELV
CTAS
HCA
JCI
WMB
RBLX
AZO
ZTS
HWM
ECL
EOG
PYPL
CL
ADSK
APD
HLT
NET
UPS
VST
FCX
NSC
COIN
URI
TFC
TRV
CSX
MAR
REGN
AEP
SPG
FAST
GM
DLR
ROP
CMG
APO
MPC
PWR
AXON
ALNY
ABNB
BDX
CMI
SLB
PSX
MRVL
ALL
SRE
FLUT
COR
LNG
O
KMI
CARR
GLW
AFL
IDXX
LHX
PCAR
D
CTVA
FDX
FTNT
WDAY
AMP
VRT
CBRE
OKE
CVNA
VLO
ROST
AIG
RSG
NU
DHI
EW
PSA
F
MET
BKR
PAYX
GWW
EA
FERG
EXC
TGT
XYZ
MNST
CPRT
CCI
KMB
MSCI
AME
DDOG
EBAY
XEL
TTWO
KR
PEG
YUM
DAL
RMD
VEEV
GRMN
KVUE
NDAQ
SYY
PRU
DELL
ROK
MPWR
VMC
ETR
KDP
MLM
HIG
VRSK
CSGP
FIS
HUM
A
FICO
TRGP
CAH
VICI
CTSH
ED
CPNG
CCL
XYL
MCHP
UAL
NUE
ARES
OTIS
WEC
IQV
GEHC
PCG
ACGL
STT
TSCO
MTB
WAB
WTW
DD
OXY
IR
RJF
EQT
LEN
FITB
EFX
EXR
ADM
BR
VTR
HPE
SYF
DXCM
LPLA
NRG
SOFI
FANG
TEAM
AU
DTE
KEYS
ODFL
AWK
WDC
AVB
EME
MTD
BRO
IRM
ZS
PPL
GIS
HPQ
AEE
HSY
PHM
HBAN
LYV
IBKR
ATO
RDDT
ALAB
EXPE
IP
WBD
PTC
NTRS
VLTO
PPG
MDB
EQR
TDY
HUBS
RF
CBOE
SW
FIX
CNP
MKL
INSM
TTD
DOV
TYL
DRI
KHC
STE
CHTR
FE
DG
PODD
PSTG
AFRM
CINF
TROW
ES
HUBB
LH
LDOS
DKNG
BAM
CFG
CHD
NTAP
VRSN
NVR
DVN
WSM
ULTA
DLTR
CPAY
K
SBAC
NTRA
GPN
WRB
CDW
PINS
JBL
EL
EIX
ZM
CMS
STZ
SMCI
LULU
RBA
EXE
TPR
ZBH
FWONK
ON
QSR
FLEX
TOST
GDDY
DGX
NI
FSLR
AMCR
BIIB
FCNCA
GPC
PKG
TRMB
HAL
INVH
TER
RKLB
SSNC
WY
IT
KEY
LVS
CTRA
STLD
BURL
APTV
CASY
GWRE
DECK
FFIV
WAT
CW
TPL
PFG
LII
USFD
MKC
J
WST
PNR
DOW
IFF
TRU
ESS
NTNX
MAA
SGI
CG
THC
TLN
L
LUV
LNT
SNA
GEN
ACM
CSL
EXPD
EQH
FTV
ZBRA
EVRG
SUI
RPM
TSN
ROL
ILMN
MAS
FNF
RS
PFGC
BLDR
FTAI
FTI
OKTA
OMC
CHRW
DOCU
KIM
HOLX
NVT
TWLO
BALL
XPO
DT
BWXT
WWD
WPC
EWBC
CLX
DPZ
TXT
LYB
EG
ALLE
BBY
ARE
JLL
CNC
FDS
TW
CF
WSO
TOL
GGG
RPRX
Z
COHR
SFM
ITT
COO
BAH
UTHR
NBIX
HEI
INCY
AVY
CIEN
MANH
FOXA
LECO
APG
RGA
REG
UDR
TKO
VIK
VTRS
BAX
ENTG
DOC
BJ
OC
NLY
GLPI
CNM
U
ROKU
IEX
RBC
CLH
BLD
AMH
OHI
NDSN
EHC
JKHY
UNM
CPT
QXO
RL
EVR
HST
RGLD
SWK
TXRH
PAYC
AKAM
SNX
RNR
GL
CRS
OWL
JBHT
NWSA
DKS
SF
CCK
BXP
SJM
LAMR
SWKS
ELS
FHN
ALLY
WTRG
SCI
MTZ
DUOL
BG
POOL
BMRN
HAS
NCLH
OVV
AIZ
SOLV
ATI
MEDP
GNRC
RVTY
HLI
DAY
PNW
WYNN
HII
DTM
MOS
WCC
RIVN
WBS
CACI
MLI
CELH
ARMK
CNH
SSB
PEN
WMS
KNSL
EXEL
AYI
AIT
UHS
ALB
JEF
ONON
QGEN
IPG
RRX
CRBG
REXR
TTEK
BWA
ALGN
IOT
MOH
WAL
EPAM
AES
NYT
DCI
DOX
KMX
CUBE
MP
AGNC
AR
CMA
SEIC
GME
LITE
ORI
CR
WING
PR
ATR
CAG
MTCH
WTFC
ELAN
LSCC
AFG
OGE
HALO
SN
AVTR
OSK
DOCS
PRI
EGP
EXAS
PLNT
BSY
AAL
FND
FYBR
RBRK
LAD
TECH
CHWY
FRT
MRNA
BRX
BPOP
TAP
LKQ
QRVO
ASTS
ZION
AWI
AA
BROS
INGR
SKX
APA
AOS
MGM
DINO
MTSI
TTC
RRC
EMN
PCTY
ACI
NNN
IVZ
SSD
PCOR
CRL
SCCO
SAIA
BEN
ADC
FIVE
TPG
LW
OLLI
NFG
ESTC
ALK
CFR
LNW
EXP
CBSH
HSIC
JAZZ
R
CART
AXS
UGI
PNFP
ALSN
OMF
HRL
XP
KD
CGNX
LNC
VMI
G
STWD
VOYA
FOX
SNV
FBIN
SNDK
FLS
W
MKSI
EXLS
KNX
STAG
GMED
MIDD
ELF
AXTA
LBRDK
MHK
MUSA
VNOM
CHDN
CAVA
AGCO
IDA
BFAM
FR
VNO
HRB
MKTX
GPK
IONS
CHE
RVMD
ESAB
TREX
WH
CORT
RITM
SLM
MTG
ARW
FAF
KBR
CHRD
LYFT
GTES
PRMB
RGEN
LFUS
GNTX
SITE
VNT
GTLB
PB
MASI
MSA
LAZ
AMG
AL
TEM
BBWI
CPB
THG
HLNE
MORN
OLED
APPF
COKE
GXO
CRUS
FOUR
AN
LPX
AM
RYAN
FNB
LEA
AS
DBX
MTDR
MTN
MAT
H
WEX
BIO
NXST
ESI
POST
HR
CCCS
TFX
FCN
LOPE
OZK
COLB
THO
AAON
JHG
AUR
CZR
RLI
SAIC
S
CFLT
KEX
ETSY
CE
VFC
NOV
DAR
DVA
BRBR
CLF
ONTO
GAP
HXL
WHR
BYD
TIGO
VVV
NEU
CUZ
KRC
FMC
PATH
SPR
TKR
ENPH
CROX
SEE
RAL
ST
PEGA
AVT
SON
LSTR
WTM
WFRD
BEPC
LLYVK
BC
ROIV
SIRI
PVH
B
DLB
WSC
BITF
FIGR
IONQ
BILL
MRP
PSN
SLGN
COLD
RKT
ZG
RYN
EPR
ECG
TNL
AMTM
MSM
AGO
ALGM
EEFT
SARO
RHI
M
NWS
NVST
CACC
BRKR
ADT
RH
GFS
NCNO
PAG
CIVI
VIRT
HIW
MDU
KMPR
QS
FHB
HOG
PRGO
CHH
GTM
HAYW
MSGS
DRS
FRHC
PENN
LOAR
APLS
JHX
LINE
VKTX
WLK
CXT
GLOB
YETI
WU
XRAY
CWEN
BIRK
FLO
SMMT
AMKR
OLN
BHF
RARE
INSP
SMG
CAR
FRPT
ASH
DXC
INFA
KRMN
SHC
BOKF
NWL
IAC
LCID
OGN
RNG
CNXC
IRDM
HHH
PK
NSA
